source_id,ra,dec,phot_g_mean_mag,bp_rp,parallax
3403770481252280448,83.64606689838303,21.95756979580018,17.055624,2.7282848,4.920109107867634
3403770481253223296,83.65260540575456,21.948656663457403,19.57186,1.2664852,0.22253822387774247
3403770481253223552,83.64712887305244,21.94921026657773,19.502375,1.735796,0.7012174964673816
3403770481253224320,83.65008339613682,21.94956914235392,19.01747,1.1153221,0.3893114495465055
3403770485548250368,83.65240123028147,21.950530413312382,20.326534,2.0011635,0.38334182576062276
3403770485548251776,83.64935556177616,21.95017335377094,19.170328,2.545803,1.4499968186261731
3403770515612948864,83.60578376507283,21.924993111441147,16.239878,1.2607269,0.3693268546732887
3403770515612953088,83.61378408303753,21.932425735819045,15.934476,1.1874437,0.5398674719868556
3403770515612955520,83.60389898598007,21.937500589136683,17.541712,1.05439,0.3104266773863776
3403770519908822784,83.60876700622241,21.930272305110325,20.461067,1.4739628,0.4506747681397406
3403770519910473856,83.60845705525425,21.928502325981285,15.663396,2.4733524,5.207961037105631
3403770519910474752,83.60156633962173,21.929733606398557,15.396026,1.1153078,0.735004839608346
3403770549972694272,83.62086065455749,21.938378603018094,18.441113,1.1378422,0.1529486243300078
3403770549972697216,83.62201777837448,21.943971544791022,19.581446,2.3814373,0.6825032896152501
3403770549974918912,83.61910676767309,21.93637777061165,20.389488,2.0992088,1.0736136208259985
3403770554270204800,83.61656033344487,21.946785033328684,17.368443,1.3382034,0.20159110562710733
3403770584332436864,83.5878604866163,21.945397880631408,18.635843,2.8892746,2.4789511080643885
3403770584332437760,83.60019819418272,21.947515275906486,19.014189,1.2231312,0.7635140059428112
3403770584332462848,83.59108714137707,21.949740639260543,19.906736,1.3500633,0.04091878867170233
3403770588628294272,83.59796909074265,21.94388722344841,20.691902,1.317728,1.7151124507843702
